<the last frame table>

Page Number  Valid bit  Virtual address
      0         0             39
      1         1            381
      2         1            606
      3         0            813
      4         0           1239
      5         0           1401
      6         0           1771
      7         0           1913
      8         1           2301
      9         0           2498
     10         0           2709
     11         0           2919
     12         0           3308
     13         0              0
     14         1           3595
     15         0           3870
     16         0           4098
     17         0           4542
     18         0           4708
     19         0           4946
     20         0           5281
     21         0           5417
     22         0           5708
     23         0           6029
     24         0           6283
     25         0           6552
     26         1           6741
     27         1           6957
     28         1           7257
     29         0           7522
     30         1           7736
     31         0           8077
     32         0           8362
     33         0           8541
     34         1           8940
     35         1           9041
     36         1           9277
     37         0           9555
     38         1           9929
     39         0          10054
     40         0          10447
     41         0          10583
     42         0          10963
     43         1          11036
     44         0          11384
     45         1          11525
     46         1          11983
     47         1          12107
     48         0          12386
     49         1          12712
     50         0          13009
     51         0          13098
     52         0          13464
     53         1          13611
     54         0          14042
     55         0              0
     56         0          14405
     57         0          14829
     58         0          15096
     59         0          15130
     60         1          15578
     61         0          15679
     62         1          16041
     63         0          16151
     64         0          16399
     65         1          16883
     66         0          17071
     67         0          17375
     68         1          17443
     69         1          17684
     70         1          17932
     71         1          18426
     72         0          18490
     73         0          18904
     74         0              0
     75         1          19289
     76         0          19537
     77         1          19833
     78         0          20155
     79         0          20420
     80         0          20526
     81         1          20920
     82         1          21238
     83         0          21415
     84         0          21531
     85         1          21947
     86         0          22136
     87         1          22345
     88         0          22656
     89         1          22833
     90         1          23195
     91         1          23453
     92         0          23696
     93         1          23867
     94         0          24142
     95         1          24385
     96         0          24593
     97         0          24999
     98         0              0
     99         0          25498
    100         0              0
    101         0          25904
    102         1          26214
    103         0          26545
    104         1          26773
    105         0          27083
    106         1          27227
    107         1          27460
    108         0          27883
    109         0          28059
    110         0          28201
    111         0          28572
    112         1          28848
    113         1          29085
    114         1          29328
    115         0          29687
    116         0          29780
    117         1          30032
    118         1          30273
    119         1          30557
    120         0              0
    121         1          31114
    122         1          31260
    123         0          31723
    124         0              0
    125         1          32228
    126         0          32442
    127         0          32532
    128         0          32783
    129         1          33150
    130         0          33405
    131         0          33645
    132         1          33996
    133         1          34070
    134         0              0
    135         1          34660
    136         0          34916
    137         1          35229
    138         0          35463
    139         1          35826
    140         0              0
    141         0          36118
    142         1          36464
    143         1          36636
    144         1          36943
    145         0              0
    146         1          37606
    147         1          37673
    148         1          38025
    149         0          38174
    150         0              0
    151         1          38753
    152         0          39120
    153         1          39206
    154         1          39530
    155         0          39720
    156         0          39993
    157         0              0
    158         0          40572
    159         1          40946
    160         1          41114
    161         0          41318
    162         1          41565
    163         1          41942
    164         1          42008
    165         1          42261
    166         0          42633
    167         1          42816
    168         1          43046
    169         0          43328
    170         0          43637
    171         1          43973
    172         0          44059
    173         0          44395
    174         1          44560
    175         1          44860
    176         1          45247
    177         1          45563
    178         0          45772
    179         1          46032
    180         0          46304
    181         1          46388
    182         0          46842
    183         0          46870
    184         0          47134
    185         0          47513
    186         1          47706
    187         0          48065
    188         1          48162
    189         0          48394
    190         0          48769
    191         1          48955
    192         1          49205
    193         1          49660
    194         1          49847
    195         1          49920
    196         1          50361
    197         1          50532
    198         0          50882
    199         1          50992
    200         0          51230
    201         1          51483
    202         1          51933
    203         0          52038
    204         1          52242
    205         0          52704
    206         0          52954
    207         0          53040
    208         1          53502
    209         1          53669
    210         1          53839
    211         1          54066
    212         1          54518
    213         1          54671
    214         1          54920
    215         1          55099
    216         1          55491
    217         1          55555
    218         1          56004
    219         0          56181
    220         0          56438
    221         1          56691
    222         1          56909
    223         0          57314
    224         0          57387
    225         1          57751
    226         1          57990
    227         1          58219
    228         1          58390
    229         1          58634
    230         0          59003
    231         1          59188
    232         1          59533
    233         1          59684
    234         1          59955
    235         1          60364
    236         1          60498
    237         1          60734
    238         1          61033
    239         1          61431
    240         1          61528
    241         1          61827
    242         1          62166
    243         0          62417
    244         1          62520
    245         1          62958
    246         1          63140
    247         1          63437
    248         1          63650
    249         1          63947
    250         1          64098
    251         0          64413
    252         0          64658
    253         1          64843
    254         1          65155
    255         1          65449
